,date_local,county_code,site_number,parameter,sample_duration,pollutant_standard,validity_indicator,arithmetic_mean,first_max_value,aqi,local_site_name,state
1606,3/21/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,6.545833,11.6,10,IS 52,New York
1608,3/20/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,22.625,39.3,37,IS 52,New York
1610,3/19/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,19.233333,32.1,30,IS 52,New York
1612,3/18/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,16.366667,26.9,25,IS 52,New York
1614,3/17/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,22.420833,36.2,34,IS 52,New York
1616,3/16/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,12.8125,22.1,21,IS 52,New York
1618,3/15/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.483333,21.1,20,IS 52,New York
1620,3/14/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.379167,14.3,13,IS 52,New York
1622,3/13/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,15.2625,38.4,36,IS 52,New York
1624,3/12/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,28.3875,59.5,56,IS 52,New York
1626,3/11/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,19.045833,45.3,42,IS 52,New York
1628,3/10/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,20.191667000000002,37.2,35,IS 52,New York
1630,3/9/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,25.47,43.6,41,IS 52,New York
1633,3/7/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,10.566667,16.9,15,IS 52,New York
1635,3/8/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,17.3,24.9,23,IS 52,New York
1636,3/6/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,21.108333,41.3,39,IS 52,New York
1638,3/5/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,14.145832999999998,28.7,26,IS 52,New York
1640,3/4/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,11.5375,22.4,21,IS 52,New York
1642,3/3/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,24.333333,37.0,35,IS 52,New York
1644,3/2/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,29.245833,49.0,46,IS 52,New York
1646,3/1/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,15.95,44.4,42,IS 52,New York
1648,2/29/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,11.533333,17.1,16,IS 52,New York
1650,2/28/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,13.25,21.0,20,IS 52,New York
1652,2/27/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,10.15,22.6,21,IS 52,New York
1654,2/26/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,20.355,32.0,30,IS 52,New York
1655,2/25/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,30.570833,43.2,41,IS 52,New York
1657,2/24/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,41.970833,57.1,54,IS 52,New York
1660,2/23/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,30.9625,52.7,49,IS 52,New York
1662,2/22/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,25.295833,44.1,42,IS 52,New York
1664,2/21/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,16.229167,31.2,29,IS 52,New York
1666,2/20/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,12.270833,18.3,17,IS 52,New York
